"序号","关键字","关键字次数","翻译"
"0","任务调度中心","1","Mission control center"
"1","分布式任务调度平台","1","Distributed task scheduling platform."
"2","快照版","1","The snapshot version"
"3","系统提示","1","The system prompt"
"4","确定","1","determine"
"5","关闭","1","Shut down"
"6","保存","1","save"
"7","取消","1","cancel"
"8","搜索","2","search"
"9","状态","2","state"
"10","操作","1","operation"
"11","请输入","1","Please enter the"
"12","请选择","1","Please select a"
"13","成功","3","successful"
"14","失败","3","failure"
"15","新增成功","1","New success"
"16","新增失败","1","The new failure"
"17","更新成功","1","The update is successful"
"18","更新失败","1","Update failed"
"19","全部","2","all"
"20","接口异常","1","Abnormal interface"
"21","查看","1","To view"
"22","无","1","There is no"
"23","操作成功","1","Operation is successful"
"24","操作失败","1","The operation failure"
"25","编辑","1","The editor"
"26","删除","1","delete"
"27","非法","3","illegal"
"28","不存在","1","There is no"
"29","导航","1","navigation"
"30","最近一小时","1","Last hour"
"31","今日","1","Today,"
"32","昨日","1","Yesterday,"
"33","本月","1","This month,"
"34","上个月","1","Last month,"
"35","最近一周","1","In the latest week"
"36","最近一月","1","In recent month"
"37","自定义","1","The custom"
"38","起始时间","1","Starting time"
"39","结束时间","1","The end of time"
"40","日","1","day"
"41","一","1","a"
"42","二","1","The second"
"43","三","1","three"
"44","四","1","four"
"45","五","1","five"
"46","六","1","six"
"47","一月","1","In January,"
"48","二月","1","In February,"
"49","三月","1","In march,"
"50","四月","1","April"
"51","五月","1","In may"
"52","六月","1","In June"
"53","七月","1","The month of July"
"54","八月","1","In August,"
"55","九月","1","September"
"56","十月","1","October"
"57","十一月","1","In November,"
"58","十二月","1","December"
"59","处理中","1","In the processing"
"60","每页","1","Each page"
"61","条记录","2","records"
"62","没有匹配结果","1","No matching results"
"63","第","1","The first"
"64","页","2","page"
"65","总共","1","In total,"
"66","无记录","1","No record"
"67","由","1","by"
"68","项结果过滤","1","Results filtering"
"69","表中数据为空","1","The data in the table is empty."
"70","载入中","1","In the load"
"71","首页","1","Home page"
"72","上页","1","On the page"
"73","下页","1","On the next page"
"74","末页","1","At the end of the page"
"75","以升序排列此列","1","Arrange this column in ascending order."
"76","以降序排列此列","1","Rank this column in descending order."
"77","登录","1","The login"
"78","记住密码","1","Remember the password"
"79","请输入登录账号","2","Please enter your login account."
"80","请输入登录密码","2","Please enter your login password."
"81","登录账号不应低于","1","Login account should not be lower than."
"82","位","2","position"
"83","登录密码不应低于","1","The login password should not be lower than."
"84","登录成功","1","Login successful"
"85","登录失败","1","Login failed"
"86","账号或密码为空","1","The account or password is empty."
"87","账号或密码错误","1","Account or password error."
"88","注销","1","The cancellation"
"89","确认注销登录","1","Confirm logout"
"90","注销成功","1","Cancellation of success"
"91","注销失败","1","Logout failed"
"92","运行报表","1","Run the report"
"93","任务数量","1","Number of tasks"
"94","调度中心运行的任务数量","1","The number of tasks that the dispatch center runs."
"95","调度次数","1","Number of scheduling"
"96","调度中心触发的调度次数","1","The number of dispatches triggered by the dispatch center."
"97","执行器数量","1","Number of actuators"
