"序号","文件名（含路径）","行号","行起始位置","行结束位置","关键字","翻译"
"0","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","1","11","17","任务调度中心","Mission control center"
"1","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","2","16","25","分布式任务调度平台","Distributed task scheduling platform."
"2","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","3","21","24","快照版","The snapshot version"
"3","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","6","12","16","系统提示","The system prompt"
"4","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","7","10","12","确定","determine"
"5","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","8","13","15","关闭","Shut down"
"6","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","9","12","14","保存","save"
"7","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","10","14","16","取消","cancel"
"8","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","11","14","16","搜索","search"
"9","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","12","14","16","状态","state"
"10","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","13","11","13","操作","operation"
"11","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","14","20","23","请输入","Please enter the"
"12","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","15","21","24","请选择","Please select a"
"13","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","16","15","17","成功","successful"
"14","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","17","12","14","失败","failure"
"15","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","18","15","19","新增成功","New success"
"16","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","19","16","20","新增失败","The new failure"
"17","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","20","18","22","更新成功","The update is successful"
